Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EpTrue	EpTRew	Time
0	78.8421	-0.018467164	0.26594102	0.8276878	-0.72420096	1536	-6.239861e-08	159.96959	-0.06070761	-42.04512	763.8321163382503	763.8322	169.04289150238037
1	83.5	3.205447	1.7891009	6.9118733	-1.4899715	3072	-5.401671e-08	98.49517	-0.046010807	-16.712036	800.8913402298748	800.89136	335.32454800605774
2	77.47369	6.2877946	2.4073346	9.544954	-1.4787389	4608	-2.8871e-08	90.613075	-0.041125745	-10.771042	756.5089465881855	756.509	507.8849639892578
3	72.14286	8.21621	2.8835838	10.933874	-2.5945091	6144	4.1599076e-08	76.342804	-0.023790572	-2.803749	697.714251661436	697.71436	672.5867695808411
4	84.166664	9.548673	3.1998816	11.958484	-2.4930341	7680	2.173086e-08	80.58403	-0.02849687	-0.4130249	799.2984978335827	799.2985	835.0781056880951
5	80.57895	10.208137	3.0716217	12.330317	-2.079705	9216	-6.798655e-08	79.98884	-0.009701373	-3.022583	770.5252647938106	770.5252	1000.312136888504
6	73.8	10.055664	2.857922	12.076527	-1.2338052	10752	6.5968685e-08	80.32839	-0.023904707	-2.554779	711.4059949333486	711.40594	1167.9881916046143
7	68.90909	9.314463	3.050374	11.691325	-2.0940866	12288	1.4590721e-08	77.236465	-0.015363101	-2.501381	668.4512549231179	668.45123	1341.0914311408997
8	75.05	8.911214	3.275322	11.493292	-5.4433236	13824	6.239861e-08	76.81562	-0.012054185	-2.7272644	724.1338686583156	724.1339	1512.3683505058289
9	75.75	8.700596	3.338382	11.529781	-2.7484798	15360	1.3969839e-09	74.99882	-0.0028062374	-2.799469	727.8042744522397	727.8043	1685.9897520542145
10	83.333336	8.17653	3.6421056	11.741174	-5.6650844	16896	5.153318e-08	78.776	-0.008687204	-4.141716	788.6230952948545	788.62317	1856.49706864357
11	72.04762	8.457022	3.8818505	12.073608	-4.855785	18432	6.519258e-08	69.594795	-0.0066058054	-3.7683792	694.7468764132067	694.74695	2029.6250505447388
12	85.111115	7.289837	4.6681643	12.535726	-8.196256	19968	-7.90072e-08	66.23172	-0.009572692	-4.2414207	809.0831628379749	809.08325	2204.937027692795
13	84.17647	7.0739274	5.206505	13.172041	-10.07573	21504	2.7939677e-08	62.001102	-0.00744072	-4.314995	796.726489705792	796.72644	2373.2242679595947
14	72.333336	7.9775805	5.0562143	13.880071	-8.844095	23040	5.1145133e-08	59.026707	-0.017076723	-5.1847687	693.3004594145505	693.3005	2547.755514383316
15	86.29412	7.05735	5.581171	14.646393	-9.184779	24576	-1.27280755e-08	60.90341	-0.013433242	-5.4201965	808.927512955978	808.9275	2717.7013692855835
16	74.95	7.4879107	5.7584186	15.505647	-12.280762	26112	-2.4524828e-08	53.24918	-0.009958635	-6.1219215	709.7143695405392	709.7143	2888.596599340439
17	79.1579	7.956968	5.775703	16.419895	-10.853161	27648	4.718701e-08	47.844585	-0.015203747	-5.7188873	752.2846393103038	752.2846	3057.737481355667
18	84.388885	7.4799285	5.9115267	17.37284	-9.981654	29184	1.2417634e-08	42.382458	-0.018981535	-6.5215607	799.7102698510753	799.71027	3227.7140996456146
19	72.38095	8.304736	6.473257	18.382288	-7.3494997	30720	-5.2309286e-08	34.8784	-0.01347658	-5.6081715	694.3853254124914	694.3854	3399.5144159793854
20	74.3	8.066631	6.2902074	19.372889	-11.015763	32256	-4.346172e-09	36.370033	-0.0075556315	-7.2020283	711.2803961068646	711.2804	3573.0246226787567
21	78.89474	8.49257	6.637382	20.411823	-10.01424	33792	-4.656613e-09	35.91658	-0.011082696	-7.4344273	752.9834874297003	752.9835	3744.5844802856445
22	76.2	7.997722	7.163714	21.421549	-8.892792	35328	2.3283064e-08	28.15154	-0.009726261	-6.000471	731.3631374828161	731.36316	3915.6934814453125
23	80.94444	9.015969	7.65634	22.38505	-8.940925	36864	-1.102065e-08	32.14721	-0.010013448	-7.5225525	768.0623812073671	768.0624	4084.214781522751
24	84.05556	7.1172433	7.703333	23.122932	-11.275049	38400	-7.202228e-08	27.330603	-0.0077713975	-6.3460865	795.6842142643768	795.6842	4255.930866241455
