,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_ty,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension,abd_r_activation,abd_r_fiber_length,add_r_activation,add_r_fiber_length,hamstrings_r_activation,hamstrings_r_fiber_length,bifemsh_r_activation,bifemsh_r_fiber_length,glut_max_r_activation,glut_max_r_fiber_length,iliopsoas_r_activation,iliopsoas_r_fiber_length,rect_fem_r_activation,rect_fem_r_fiber_length,vasti_r_activation,vasti_r_fiber_length,abd_l_activation,abd_l_fiber_length,add_l_activation,add_l_fiber_length,hamstrings_l_activation,hamstrings_l_fiber_length,bifemsh_l_activation,bifemsh_l_fiber_length,glut_max_l_activation,glut_max_l_fiber_length,iliopsoas_l_activation,iliopsoas_l_fiber_length,rect_fem_l_activation,rect_fem_l_fiber_length,vasti_l_activation,vasti_l_fiber_length,gastroc_l_activation,gastroc_l_fiber_length,soleus_l_activation,soleus_l_fiber_length,tib_ant_l_activation,tib_ant_l_fiber_length,head_pos_x,head_pos_y,head_pos_z,com_pos_x,com_pos_y,com_pos_z,toes_l_x,toes_l_y,toes_l_z,pros_foot_r_x,pros_foot_r_y,pros_foot_r_z
0,0,-0.032637657,-0.008203047,0.042411501,0.94,0.429525529,0.019024089,-0.023561945,-0.068765973,-0.029670597,-0.289026524,0.046774824,0.022340214,-0.143116999,0.1712168,-0.0872665,0.05,0.077523069,0.05,0.055261376,0.05,0.063558962,0.05,0.134342647,0.05,0.160848247,0.05,0.130057686,0.05,0.060270446,0.05,0.078907569,0.05,0.077523069,0.05,0.055261376,0.05,0.063558962,0.05,0.134342647,0.05,0.160848247,0.05,0.130057686,0.05,0.060270446,0.05,0.078907569,0.05,0.057202577,0.05,0.044948141,0.05,0.06288001,-0.052764321,1.569407082,0,-0.084665656,0.995273057,-0.003576087,0.054830143,0.004129304,-0.0925,-0.075199857,0.048079304,0.0835
1,0.01,-0.031590459,-0.015184364,0.044680429,0.937979318,0.426733002,0.027750735,-0.006457718,-0.116238928,-0.056723201,-0.29356438,0.033859387,0.024609142,-0.197047673,0.144164196,-0.0872665,0.04695487,0.077629931,0.049770032,0.056483055,0.046666667,0.065360011,0.046666667,0.134342927,0.047170244,0.162323507,0.053722899,0.128893448,0.053482268,0.058790707,0.050049996,0.078994044,0.065688772,0.078389409,0.059804924,0.056138577,0.104964899,0.063919464,0.047524521,0.133132348,0.074498962,0.163431719,0.046666667,0.12803078,0.046666667,0.060309268,0.046666667,0.081247266,0.058994096,0.055760161,0.050205207,0.045101887,0.048152377,0.062696269,-0.036975238,1.568149238,-0.003788471,-0.074128042,0.994614647,-0.003846385,0.068289789,0.001805519,-0.090122781,-0.059106057,0.047865434,0.099709921
2,0.02,-0.02984513,-0.02443461,0.043982297,0.935958636,0.421147949,0.038746309,0.023736478,-0.164933614,-0.081681409,-0.288502925,0.01727876,0.020245819,-0.265115513,0.096342175,-0.0872665,0.04390974,0.077736793,0.049540064,0.057704735,0.043333333,0.067161059,0.043333333,0.134343208,0.044340489,0.163798767,0.057445798,0.127729209,0.056964536,0.057310967,0.050099991,0.07908052,0.081377544,0.079255749,0.069609849,0.057015779,0.159929798,0.064279966,0.045049042,0.13192205,0.098997924,0.166015192,0.043333333,0.126003874,0.043333333,0.060348089,0.043333333,0.083586962,0.067988191,0.054317746,0.050410413,0.045255632,0.046304753,0.062512528,-0.021175479,1.566702258,-0.007576804,-0.063567265,0.993999934,-0.004093429,0.081828608,0.000111107,-0.087652475,-0.043050958,0.048164559,0.116062458
3,0.03,-0.027750735,-0.035953783,0.03996804,0.933937953,0.413293967,0.05253441,0.052708943,-0.213977366,-0.088662726,-0.268780705,-0.003316126,0.00715585,-0.35203291,0.019373155,-0.0872665,0.04086461,0.077843656,0.049310097,0.058926414,0.04,0.068962108,0.04,0.134343488,0.041510733,0.165274028,0.061168697,0.126564971,0.060446803,0.055831227,0.050149987,0.079166996,0.097066317,0.080122089,0.079414773,0.057892981,0.214894697,0.064640468,0.042573563,0.130711751,0.123496887,0.168598664,0.04,0.123976967,0.04,0.060386911,0.04,0.085926659,0.076982287,0.052875331,0.05061562,0.045409377,0.04445713,0.062328787,-0.00536886,1.56506601,-0.011364861,-0.052986711,0.993429543,-0.004320244,0.095433579,-0.000945081,-0.08509622,-0.02703638,0.048981226,0.132537115
4,0.04,-0.02565634,-0.048171087,0.034382986,0.931917271,0.400727596,0.068416907,0.069638637,-0.257610598,-0.07278023,-0.234572251,-0.025830873,-0.00837758,-0.454832803,-0.076096355,-0.0872665,0.03781948,0.077950518,0.049080129,0.060148093,0.036666667,0.070763157,0.036666667,0.134343768,0.038680978,0.166749288,0.064891596,0.125400732,0.063929071,0.054351488,0.050199982,0.079253472,0.112755089,0.080988429,0.089219698,0.058770182,0.269859596,0.06500097,0.040098084,0.129501453,0.147995849,0.171182137,0.036666667,0.121950061,0.036666667,0.060425732,0.036666667,0.088266356,0.085976382,0.051432916,0.050820827,0.045563123,0.042609507,0.062145045,0.010440805,1.563240444,-0.015152503,-0.04238985,0.992904031,-0.004529985,0.10909016,-0.001354203,-0.082462002,-0.011063858,0.050319196,0.149112967
5,0.05,-0.024260077,-0.058817596,0.030194196,0.929896589,0.380132711,0.083426738,0.073827427,-0.285710399,-0.043633231,-0.185877565,-0.046949357,-0.01727876,-0.570199067,-0.169820536,-0.0872665,0.03477435,0.078057381,0.048850161,0.061369773,0.033333333,0.072564205,0.033333333,0.134344049,0.035851222,0.168224549,0.068614494,0.124236494,0.067411339,0.052871748,0.050249978,0.079339947,0.128443861,0.081854769,0.099024622,0.059647384,0.324824494,0.065361472,0.037622606,0.128291154,0.172494811,0.17376561,0.033333333,0.119923155,0.033333333,0.060464554,0.033333333,0.090606053,0.094970478,0.049990501,0.051026033,0.045716868,0.040761883,0.061961304,0.026249701,1.561225588,-0.018939592,-0.031781691,0.992423387,-0.004725928,0.122762409,-0.001114143,-0.079758802,0.004865341,0.052181416,0.165768709
6,0.06,-0.024085544,-0.066671577,0.028972466,0.927875907,0.353254641,0.095120444,0.072954763,-0.297404105,-0.014486233,-0.124791042,-0.063180919,-0.011519173,-0.691150384,-0.233350521,-0.0872665,0.03172922,0.078164243,0.048620193,0.062591452,0.03,0.074365254,0.03,0.134344329,0.033021467,0.169699809,0.072337393,0.123072255,0.070893607,0.051392009,0.050299973,0.079426423,0.144132633,0.08272111,0.108829547,0.060524585,0.379789393,0.065721974,0.035147127,0.127080856,0.196993773,0.176349082,0.03,0.117896249,0.03,0.060503375,0.03,0.09294575,0.103964573,0.048548086,0.05123124,0.045870614,0.03891426,0.061777563,0.042054018,1.559021554,-0.02272599,-0.021168778,0.991986727,-0.00491146,0.13639307,-0.000233757,-0.076996518,0.020750195,0.054570001,0.182482719
7,0.07,-0.024958208,-0.071209433,0.030543262,0.925855224,0.321315115,0.102101761,0.06684611,-0.295484242,0.01134464,-0.055152404,-0.071558499,0.005410521,-0.805643983,-0.245567826,-0.0872665,0.02868409,0.078271105,0.048390226,0.063813131,0.026666667,0.076166303,0.026666667,0.134344609,0.030191711,0.171175069,0.076060292,0.121908017,0.074375874,0.049912269,0.050349969,0.079512899,0.159821406,0.08358745,0.118634471,0.061401787,0.434754292,0.066082476,0.032671648,0.125870557,0.221492736,0.178932555,0.026666667,0.115869342,0.026666667,0.060542197,0.026666667,0.095285446,0.112958669,0.04710567,0.051436447,0.046024359,0.037066637,0.061593822,0.057849946,1.556628531,-0.026511558,-0.010557575,0.991592612,-0.005090036,0.149925646,0.001271582,-0.074185543,0.036589915,0.057486219,0.19923311
8,0.08,-0.026529005,-0.071558499,0.033859387,0.923834542,0.285884931,0.104894288,0.056374135,-0.283441471,0.033510322,0.016580628,-0.072605697,0.019024089,-0.901986157,-0.220260552,-0.0872665,0.02563896,0.078377968,0.048160258,0.065034811,0.023333333,0.077967351,0.023333333,0.13434489,0.027361956,0.17265033,0.079783191,0.120743778,0.077858142,0.04843253,0.050399964,0.079599374,0.175510178,0.08445379,0.128439396,0.062278988,0.489719191,0.066442978,0.030196169,0.124660259,0.245991698,0.181516027,0.023333333,0.113842436,0.023333333,0.060581018,0.023333333,0.097625143,0.121952764,0.045663255,0.051641653,0.046178105,0.035219013,0.061410081,0.073633685,1.554046792,-0.030296159,4.61E-05,0.991239287,-0.005265142,0.163312108,0.003383249,-0.071336428,0.052383917,0.060930471,0.215997794
9,0.09,-0.0286234,-0.067893308,0.03700098,0.92181386,0.247662221,0.104021623,0.047472956,-0.264417382,0.052010812,0.086044732,-0.067718775,0.019024089,-0.971450262,-0.177325452,-0.0872665,0.02259383,0.07848483,0.04793029,0.06625649,0.02,0.0797684,0.02,0.13434517,0.0245322,0.17412559,0.08350609,0.11957954,0.08134041,0.04695279,0.05044996,0.07968585,0.19119895,0.08532013,0.13824432,0.06315619,0.54468409,0.06680348,0.02772069,0.12344996,0.27049066,0.1840995,0.02,0.11181553,0.02,0.06061984,0.02,0.09996484,0.13094686,0.04422084,0.05184686,0.04633185,0.03337139,0.06122634,0.089401441,1.551276688,-0.034079655,0.010638594,0.990925566,-0.005440274,0.176534183,0.006091498,-0.068459673,0.068131801,0.06490228,0.232754539
