,time,pelvis_tilt,pelvis_tilt_speed,pelvis_list,pelvis_list_speed,pelvis_rotation,pelvis_rotation_speed,pelvis_tx,pelvis_tx_speed,pelvis_ty,pelvis_ty_speed,pelvis_tz,pelvis_tz_speed,hip_flexion_r,hip_flexion_r_speed,hip_adduction_r,hip_adduction_r_speed,hip_rotation_r,hip_rotation_r_speed,knee_angle_r,knee_angle_r_speed,ankle_angle_r,ankle_angle_r_speed,hip_flexion_l,hip_flexion_l_speed,hip_adduction_l,hip_adduction_l_speed,hip_rotation_l,hip_rotation_l_speed,knee_angle_l,knee_angle_l_speed,ankle_angle_l,ankle_angle_l_speed,lumbar_extension,lumbar_extension_speed,abd_r_activation,abd_r_fiber_length,add_r_activation,add_r_fiber_length,hamstrings_r_activation,hamstrings_r_fiber_length,bifemsh_r_activation,bifemsh_r_fiber_length,glut_max_r_activation,glut_max_r_fiber_length,iliopsoas_r_activation,iliopsoas_r_fiber_length,rect_fem_r_activation,rect_fem_r_fiber_length,vasti_r_activation,vasti_r_fiber_length,abd_l_activation,abd_l_fiber_length,add_l_activation,add_l_fiber_length,hamstrings_l_activation,hamstrings_l_fiber_length,bifemsh_l_activation,bifemsh_l_fiber_length,glut_max_l_activation,glut_max_l_fiber_length,iliopsoas_l_activation,iliopsoas_l_fiber_length,rect_fem_l_activation,rect_fem_l_fiber_length,vasti_l_activation,vasti_l_fiber_length,gastroc_l_activation,gastroc_l_fiber_length,soleus_l_activation,soleus_l_fiber_length,tib_ant_l_activation,tib_ant_l_fiber_length,head_pos_x,head_pos_y,head_pos_z,com_pos_x,com_pos_y,com_pos_z,toes_l_x,toes_l_y,toes_l_z,pros_foot_r_x,pros_foot_r_y,pros_foot_r_z
0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0872665,0,0.05,0.077523069,0.05,0.055261376,0.05,0.063558962,0.05,0.134342647,0.05,0.160848247,0.05,0.130057686,0.05,0.060270446,0.05,0.078907569,0.05,0.077523069,0.05,0.055261376,0.05,0.063558962,0.05,0.134342647,0.05,0.160848247,0.05,0.130057686,0.05,0.060270446,0.05,0.078907569,0.05,0.057202577,0.05,0.044948141,0.05,0.06288001,-0.052764321,1.569407082,0,-0.084665656,0.995273057,-0.003576087,0.054830143,0.004129304,-0.0925,-0.075199857,0.048079304,0.0835
1,0.01,-0.008540488,-0.011262082,-0.002521254,0.00264189,-0.001619913,0.00492933,0.002631579,0,0.939857069,0,0,-0.000272205,0.02148565,2.20445555,-0.007128265,-0.007080018,0,0,-0.63020325,-4.61151588,-0.15252134,-4.41597136,0.016990728,-0.082974041,-0.0013734,0.005145536,0,0,-0.018283177,0.053584536,0.003826673,0.009050781,-0.0872665,0,0.049240185,0.077845915,0.049166739,0.056178965,0.048421053,0.065159119,0.048421053,0.134347576,0.049027206,0.162225188,0.050385369,0.128948342,0.05047945,0.058924973,0.049221613,0.07895069,0.056087921,0.077803374,0.053498727,0.055500355,0.073854171,0.063518444,0.048681444,0.133918332,0.061507897,0.161699799,0.048421053,0.12942245,0.048421053,0.060433921,0.048421053,0.079784864,0.053746737,0.056672777,0.051941293,0.045035562,0.049007218,0.062749199,-0.044755389,1.569689608,-0.001672367,-0.079456981,0.995848682,-0.003647441,0.056007754,0.003515699,-0.091238593,-0.055855343,0.048877466,0.091552192
2,0.02,-0.017080976,-0.022524163,-0.005042507,0.00528378,-0.003239825,0.00985866,0.005263158,0,0.939714138,0,0,-0.000544409,0.04472814,2.43024784,-0.014256531,-0.014160036,0,0,-0.67662693,-4.65322113,-0.19626322,-4.26996751,0.033981456,-0.165948082,-0.0027468,0.010291072,0,0,-0.036566354,0.107169073,0.007653346,0.018101562,-0.0872665,0,0.048480369,0.078168761,0.048333478,0.057096553,0.046842105,0.066759277,0.046842105,0.134352506,0.048054412,0.16360213,0.050770738,0.127838998,0.0509589,0.0575795,0.048443226,0.078993811,0.062175841,0.07808368,0.056997455,0.055739333,0.097708341,0.063477925,0.047362887,0.133494017,0.073015794,0.162551352,0.046842105,0.128787215,0.046842105,0.060597395,0.046842105,0.080662159,0.057493474,0.056142978,0.053882585,0.045122982,0.048014436,0.062618388,-0.036742976,1.569921759,-0.003344721,-0.074242699,0.996438727,-0.003712427,0.05719537,0.002977891,-0.089962204,-0.036528428,0.050127793,0.099677296
3,0.03,-0.025621464,-0.033786245,-0.007563761,0.00792567,-0.004859738,0.01478799,0.007894737,0,0.939571207,0,0,-0.000816614,0.0699812,2.62382322,-0.021384796,-0.021240054,0,0,-0.72309277,-4.64371671,-0.23705422,-3.85047528,0.050972184,-0.248922123,-0.0041202,0.015436607,0,0,-0.054849531,0.160753609,0.011480019,0.027152343,-0.0872665,0,0.047720554,0.078491608,0.047500217,0.058014142,0.045263158,0.068359434,0.045263158,0.134357436,0.047081617,0.164979072,0.051156107,0.126729654,0.05143835,0.056234027,0.047664839,0.079036932,0.068263762,0.078363986,0.060496182,0.055978312,0.121562512,0.063437407,0.046044331,0.133069702,0.084523691,0.163402905,0.045263158,0.128151979,0.045263158,0.060760869,0.045263158,0.081539455,0.061240211,0.055613179,0.055823878,0.045210403,0.047021654,0.062487577,-0.028727588,1.570103508,-0.005017052,-0.069023458,0.997043196,-0.003771459,0.058393502,0.002516177,-0.08867106,-0.017228742,0.051830837,0.107868818
4,0.04,-0.034161952,-0.045048326,-0.010085015,0.01056756,-0.006479651,0.01971732,0.010526316,0,0.939428276,0,0,-0.001088819,0.09702679,2.76515844,-0.028513061,-0.028320072,0,0,-0.7692565,-4.56308718,-0.27238445,-3.16528829,0.067962912,-0.331896164,-0.0054936,0.020582143,0,0,-0.073132707,0.214338145,0.015306693,0.036203124,-0.0872665,0,0.046960739,0.078814454,0.046666956,0.05893173,0.043684211,0.069959591,0.043684211,0.134362365,0.046108823,0.166356014,0.051541476,0.12562031,0.0519178,0.054888554,0.046886453,0.079080053,0.074351682,0.078644292,0.063994909,0.05621729,0.145416682,0.063396888,0.044725775,0.132645386,0.096031587,0.164254458,0.043684211,0.127516744,0.043684211,0.060924344,0.043684211,0.08241675,0.064986947,0.055083379,0.057765171,0.045297823,0.046028872,0.062356766,-0.020709731,1.570234831,-0.006689347,-0.063799907,0.997662078,-0.003824959,0.059602654,0.002130859,-0.087365405,0.002034122,0.053986822,0.116120117
5,0.05,-0.042702439,-0.056310408,-0.012606268,0.01320945,-0.008099563,0.02464665,0.013157895,0,0.939285345,0,0,-0.001361024,0.12500979,2.82421085,-0.035641326,-0.035400089,0,0,-0.8140323,-4.38398893,-0.29919902,-2.15089827,0.084953639,-0.414870205,-0.006867,0.025727679,0,0,-0.091415884,0.267922682,0.019133366,0.045253905,-0.0872665,0,0.046200924,0.079137301,0.045833695,0.059849319,0.042105263,0.071559748,0.042105263,0.134367295,0.045136029,0.167732955,0.051926845,0.124510966,0.05239725,0.053543081,0.046108066,0.079123174,0.080439603,0.078924598,0.067493637,0.056456269,0.169270853,0.063356369,0.043407218,0.132221071,0.107539484,0.165106011,0.042105263,0.126881508,0.042105263,0.061087818,0.042105263,0.083294045,0.068733684,0.05455358,0.059706463,0.045385244,0.045036089,0.062225955,-0.012689911,1.570315711,-0.008361594,-0.058572692,0.998295346,-0.00387336,0.060823326,0.001822248,-0.086045495,0.021250625,0.056595642,0.124424419
6,0.06,-0.051242927,-0.067572489,-0.015127522,0.01585134,-0.009719476,0.02957598,0.015789474,0,0.939142414,0,0,-0.001633228,0.1532646,2.80845815,-0.042769592,-0.042480107,0,0,-0.85662975,-4.10934478,-0.31478241,-0.98873217,0.101944367,-0.497844246,-0.0082404,0.030873215,0,0,-0.109699061,0.321507218,0.022960039,0.054304686,-0.0872665,0,0.045441108,0.079460147,0.045000434,0.060766908,0.040526316,0.073159906,0.040526316,0.134372225,0.044163235,0.169109897,0.052312214,0.123401622,0.0528767,0.052197608,0.045329679,0.079166295,0.086527523,0.079204904,0.070992364,0.056695248,0.193125023,0.063315851,0.042088662,0.131796756,0.119047381,0.165957564,0.040526316,0.126246273,0.040526316,0.061251293,0.040526316,0.084171341,0.072480421,0.054023781,0.061647756,0.045472664,0.044043307,0.062095144,-0.004668636,1.570346135,-0.010033781,-0.053342454,0.998942959,-0.003917102,0.062056011,0.001590661,-0.084711603,0.040411282,0.05965686,0.132774827
7,0.07,-0.059783415,-0.078834571,-0.017648776,0.01849323,-0.011339388,0.03450531,0.018421053,0,0.938999483,0,0,-0.001905433,0.18101843,2.74648458,-0.049897857,-0.049560125,0,0,-0.89586769,-3.73304829,-0.31950605,0.01778659,0.118935095,-0.580818287,-0.0096138,0.036018751,0,0,-0.127982238,0.375091754,0.026786712,0.063355467,-0.0872665,0,0.044681293,0.079782993,0.044167173,0.061684496,0.038947368,0.074760063,0.038947368,0.134377154,0.043190441,0.170486839,0.052697583,0.122292278,0.05335615,0.050852135,0.044551292,0.079209417,0.092615444,0.07948521,0.074491092,0.056934226,0.216979194,0.063275332,0.040770106,0.131372441,0.130555278,0.166809116,0.038947368,0.125611037,0.038947368,0.061414767,0.038947368,0.085048636,0.076227158,0.053493982,0.063589048,0.045560084,0.043050525,0.061964333,0.003353588,1.570326096,-0.011705897,-0.048109834,0.99960486,-0.003956631,0.063301197,0.001436423,-0.083364018,0.059506669,0.063169703,0.141164338
8,0.08,-0.068323903,-0.090096653,-0.020170029,0.02113512,-0.012959301,0.03943464,0.021052632,0,0.938856552,0,0,-0.002177638,0.20823302,2.69416568,-0.057026122,-0.056640143,0,0,-0.9312626,-3.34348858,-0.31443764,1.00956393,0.135925823,-0.663792328,-0.0109872,0.041164286,0,0,-0.146265415,0.428676291,0.030613385,0.072406248,-0.0872665,0,0.043921478,0.08010584,0.043333912,0.062602085,0.037368421,0.07636022,0.037368421,0.134382084,0.042217646,0.171863781,0.053082952,0.121182934,0.0538356,0.049506663,0.043772905,0.079252538,0.098703364,0.079765516,0.077989819,0.057173205,0.240833364,0.063234814,0.039451549,0.130948126,0.142063175,0.167660669,0.037368421,0.124975801,0.037368421,0.061578241,0.037368421,0.085925931,0.079973895,0.052964182,0.065530341,0.045647505,0.042057743,0.061833521,0.011376256,1.570255591,-0.013377929,-0.042875469,1.000280976,-0.003992401,0.064559364,0.001359863,-0.082003045,0.078527431,0.067133065,0.149585846
9,0.09,-0.076864391,-0.101358734,-0.022691283,0.02377701,-0.014579214,0.04436397,0.023684211,0,0.938713621,0,0,-0.002449843,0.23483968,2.62363741,-0.064154387,-0.063720161,0,0,-0.96261463,-2.91783568,-0.29966638,1.89977091,0.152916551,-0.746766369,-0.0123606,0.046309822,0,0,-0.164548592,0.482260827,0.034440058,0.081457029,-0.0872665,0,0.043161663,0.080428686,0.042500651,0.063519674,0.035789474,0.077960377,0.035789474,0.134387014,0.041244852,0.173240722,0.053468321,0.12007359,0.05431505,0.04816119,0.042994518,0.079295659,0.104791285,0.080045821,0.081488546,0.057412184,0.264687535,0.063194295,0.038132993,0.130523811,0.153571072,0.168512222,0.035789474,0.124340566,0.035789474,0.061741716,0.035789474,0.086803227,0.083720632,0.052434383,0.067471634,0.045734925,0.041064961,0.06170271,0.019398859,1.570134626,-0.015049866,-0.037639992,1.00097122,-0.004024873,0.065830989,0.00136132,-0.080629006,0.097464289,0.071545504,0.158032165
