,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
1,0.5,4.539518098,0.424898699,-0.281279988,0.58955852,1.03280527,-0.0216272,19.620878,-4.383297298,-10.18564382,-19.93803583,0.962166609,-3.83E-06,0,-14.39958136,3.659853829,0.030915282,-2.135985403,7.368548031,8E-08,0,-17.15216684,-2.968358269,-5.473108903
2,0.501,4.533771564,0.466741735,-0.276591217,0.589491935,1.03257532,-0.021606657,19.58209418,-4.400143016,-10.11459216,-19.5582261,0.970211523,-4.00254E-06,1.42296E-07,-14.48082617,3.702756355,0.055612914,-2.102724068,7.405680551,1.09258E-06,-8.26095E-06,-17.14693563,-3.000654722,-5.47934664
3,0.502,4.528018775,0.508568553,-0.271897965,0.589425846,1.032343996,-0.021585235,19.54329496,-4.416987584,-10.04355599,-19.17856111,0.978260724,-4.74782E-06,7.17972E-07,-14.56209003,3.745638856,0.080305833,-2.069506129,7.442811635,3.83365E-06,-4.91222E-05,-17.14173007,-3.032935932,-5.485574141
4,0.503,4.522257212,0.55036391,-0.267195426,0.589360251,1.032111309,-0.021562928,19.50450585,-4.433822943,-9.972551563,-18.79917345,0.986318423,-6.0138E-06,1.7461E-06,-14.64335187,3.788477249,0.104989489,-2.036361533,7.479928107,2.15006E-06,-0.000113383,-17.13654812,-3.065184748,-5.491790152
5,0.504,4.516484594,0.592112847,-0.262478968,0.589295152,1.031877272,-0.021539731,19.4657522,-4.450641233,-9.901594929,-18.42019552,0.994388548,-7.5648E-06,3.20061E-06,-14.72459097,3.831247826,0.12965936,-2.003319546,7.517004526,-1.56836E-05,-0.000149912,-17.13138794,-3.097384344,-5.497993338
6,0.505,4.510698451,0.633800218,-0.257743803,0.589230549,1.031641898,-0.021515636,19.42705947,-4.467434374,-9.83070231,-18.04175953,1.002474947,-9.32031E-06,5.0486E-06,-14.80578631,3.873926564,0.154310975,-1.970409954,7.554027787,-5.61725E-05,-0.000149138,-17.12624751,-3.129517617,-5.504182457
7,0.506,4.504896128,0.67541068,-0.252984978,0.589166442,1.031405201,-0.02149064,19.38845327,-4.484194061,-9.759890102,-17.66399741,1.010581367,-1.13642E-05,7.24984E-06,-14.88691671,3.916489129,0.178939942,-1.937663058,7.590997568,-0.000120313,-0.000144466,-17.12112459,-3.161567191,-5.510356365
8,0.507,4.499074985,0.716928945,-0.248197553,0.58910283,1.031167194,-0.021464739,19.34995914,-4.500911982,-9.68917467,-17.28704079,1.01871148,-1.37833E-05,9.76522E-06,-14.96796106,3.958911231,0.203541917,-1.905109032,7.627913607,-0.00020883,-0.000169104,-17.11601695,-3.193515723,-5.516513921
9,0.508,4.493232611,0.758340026,-0.243376781,0.589039714,1.030927894,-0.021437927,19.31160232,-4.517580035,-9.618572135,-16.91102089,1.0268689,-1.64976E-05,1.25641E-05,-15.04889872,4.001168996,0.228112565,-1.872777287,7.664762975,-0.000327699,-0.000212874,-17.11092261,-3.225346222,-5.522653893
10,0.509,4.487366826,0.799629248,-0.238518107,0.588977095,1.030687321,-0.021410199,19.27340772,-4.534190331,-9.548098368,-16.53606848,1.035057174,-1.92604E-05,1.56226E-05,-15.12970957,4.043238986,0.252647565,-1.840696463,7.701520321,-0.000488167,-0.000222983,-17.10583986,-3.257042056,-5.528774957
11,0.51,4.481475278,0.840781788,-0.233616825,0.588914971,1.030445492,-0.021381553,19.23540035,-4.55073479,-9.47776939,-16.1623138,1.043279691,-2.19854E-05,1.89092E-05,-15.21037331,4.085097525,0.277142734,-1.8088956,7.73817286,-0.000696109,-0.00018861,-17.10076678,-3.288586374,-5.534875898
