,time,pelvis_list,pelvis_rotation,pelvis_tilt,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,pelvis_ty,lumbar_bending,lumbar_rotation,lumbar_extension
1.000,0.000,-0.008,0.042,-0.033,0.430,0.019,-0.024,-0.069,-0.030,-0.289,0.047,0.022,-0.143,0.171,0.960,0.008,-0.042,0.033
2.000,0.010,-0.015,0.045,-0.032,0.427,0.028,-0.006,-0.116,-0.057,-0.294,0.034,0.025,-0.197,0.144,0.960,0.015,-0.045,0.032
3.000,0.020,-0.024,0.044,-0.030,0.421,0.039,0.024,-0.165,-0.082,-0.289,0.017,0.020,-0.265,0.096,0.960,0.024,-0.044,0.030
4.000,0.030,-0.036,0.040,-0.028,0.413,0.053,0.053,-0.214,-0.089,-0.269,-0.003,0.007,-0.352,0.019,0.960,0.036,-0.040,0.028
5.000,0.040,-0.048,0.034,-0.026,0.401,0.068,0.070,-0.258,-0.073,-0.235,-0.026,-0.008,-0.455,-0.076,0.960,0.048,-0.034,0.026
6.000,0.050,-0.059,0.030,-0.024,0.380,0.083,0.074,-0.286,-0.044,-0.186,-0.047,-0.017,-0.570,-0.170,0.960,0.059,-0.030,0.024
7.000,0.060,-0.067,0.029,-0.024,0.353,0.095,0.073,-0.297,-0.014,-0.125,-0.063,-0.012,-0.691,-0.233,0.960,0.067,-0.029,0.024
8.000,0.070,-0.071,0.031,-0.025,0.321,0.102,0.067,-0.295,0.011,-0.055,-0.072,0.005,-0.806,-0.246,0.960,0.071,-0.031,0.025
9.000,0.080,-0.072,0.034,-0.027,0.286,0.105,0.056,-0.283,0.034,0.017,-0.073,0.019,-0.902,-0.220,0.960,0.072,-0.034,0.027
10.000,0.090,-0.068,0.037,-0.029,0.248,0.104,0.047,-0.264,0.052,0.086,-0.068,0.019,-0.971,-0.177,0.960,0.068,-0.037,0.029
11.000,0.230,-0.061,0.039,-0.031,0.208,0.101,0.042,-0.242,0.068,0.151,-0.059,0.006,-1.009,-0.133,0.960,0.061,-0.039,0.031
12.000,0.240,-0.052,0.040,-0.033,0.167,0.097,0.037,-0.217,0.081,0.209,-0.049,-0.013,-1.017,-0.092,0.960,0.052,-0.040,0.033
13.000,0.250,-0.041,0.039,-0.034,0.126,0.093,0.032,-0.191,0.092,0.261,-0.038,-0.030,-1.000,-0.056,0.960,0.041,-0.039,0.034
14.000,0.260,-0.031,0.037,-0.036,0.085,0.088,0.026,-0.164,0.101,0.308,-0.028,-0.043,-0.961,-0.023,0.960,0.031,-0.037,0.036
15.000,0.270,-0.022,0.034,-0.038,0.045,0.084,0.021,-0.139,0.110,0.347,-0.019,-0.054,-0.900,0.004,0.960,0.022,-0.034,0.038
16.000,0.280,-0.014,0.030,-0.039,0.006,0.081,0.017,-0.115,0.118,0.380,-0.012,-0.065,-0.820,0.025,0.960,0.014,-0.030,0.039
17.000,0.290,-0.007,0.025,-0.041,-0.032,0.078,0.012,-0.094,0.127,0.406,-0.005,-0.076,-0.724,0.039,0.960,0.007,-0.025,0.041
18.000,0.300,-0.002,0.019,-0.043,-0.069,0.076,0.008,-0.075,0.137,0.425,0.001,-0.087,-0.614,0.045,0.960,0.002,-0.019,0.043
19.000,0.310,0.001,0.011,-0.044,-0.106,0.075,0.003,-0.059,0.147,0.436,0.005,-0.092,-0.494,0.042,0.960,-0.001,-0.011,0.044
20.000,0.320,0.003,0.003,-0.045,-0.141,0.074,0.000,-0.047,0.158,0.441,0.008,-0.087,-0.371,0.032,0.960,-0.003,-0.003,0.045
21.000,0.330,0.004,-0.008,-0.045,-0.176,0.073,-0.002,-0.041,0.168,0.441,0.009,-0.070,-0.252,0.020,0.960,-0.004,0.008,0.045
22.000,0.340,0.005,-0.019,-0.043,-0.207,0.072,0.000,-0.043,0.177,0.437,0.010,-0.049,-0.148,0.009,0.960,-0.005,0.019,0.043
23.000,0.350,0.006,-0.030,-0.042,-0.236,0.069,0.004,-0.052,0.184,0.433,0.010,-0.032,-0.075,0.003,0.960,-0.006,0.030,0.042
24.000,0.360,0.007,-0.040,-0.041,-0.259,0.064,0.010,-0.071,0.188,0.430,0.012,-0.024,-0.040,0.001,0.960,-0.007,0.040,0.041
25.000,0.370,0.009,-0.049,-0.039,-0.277,0.057,0.017,-0.102,0.184,0.430,0.015,-0.022,-0.041,0.000,0.960,-0.009,0.049,0.039
26.000,0.380,0.014,-0.054,-0.038,-0.289,0.047,0.022,-0.143,0.171,0.431,0.021,-0.021,-0.072,-0.009,0.960,-0.014,0.054,0.038
27.000,0.390,0.020,-0.057,-0.037,-0.294,0.034,0.025,-0.197,0.144,0.430,0.019,-0.024,-0.069,-0.030,0.960,-0.020,0.057,0.037
28.000,0.400,0.029,-0.057,-0.035,-0.289,0.017,0.020,-0.265,0.096,0.427,0.028,-0.006,-0.116,-0.057,0.960,-0.029,0.057,0.035
29.000,0.410,0.041,-0.053,-0.032,-0.269,-0.003,0.007,-0.352,0.019,0.421,0.039,0.024,-0.165,-0.082,0.960,-0.041,0.053,0.032
30.000,0.420,0.053,-0.049,-0.029,-0.235,-0.026,-0.008,-0.455,-0.076,0.413,0.053,0.053,-0.214,-0.089,0.960,-0.053,0.049,0.029
31.000,0.430,0.063,-0.046,-0.027,-0.186,-0.047,-0.017,-0.570,-0.170,0.401,0.068,0.070,-0.258,-0.073,0.960,-0.063,0.046,0.027
32.000,0.440,0.071,-0.047,-0.026,-0.125,-0.063,-0.012,-0.691,-0.233,0.380,0.083,0.074,-0.286,-0.044,0.960,-0.071,0.047,0.026
33.000,0.450,0.076,-0.050,-0.027,-0.055,-0.072,0.005,-0.806,-0.246,0.353,0.095,0.073,-0.297,-0.014,0.960,-0.076,0.050,0.027
34.000,0.460,0.077,-0.055,-0.028,0.017,-0.073,0.019,-0.902,-0.220,0.321,0.102,0.067,-0.295,0.011,0.960,-0.077,0.055,0.028
35.000,0.470,0.074,-0.059,-0.030,0.086,-0.068,0.019,-0.971,-0.177,0.286,0.105,0.056,-0.283,0.034,0.960,-0.074,0.059,0.030
36.000,0.480,0.068,-0.061,-0.032,0.151,-0.059,0.006,-1.009,-0.133,0.248,0.104,0.047,-0.264,0.052,0.960,-0.068,0.061,0.032
37.000,0.490,0.059,-0.062,-0.034,0.209,-0.049,-0.013,-1.017,-0.092,0.208,0.101,0.042,-0.242,0.068,0.960,-0.059,0.062,0.034
38.000,0.500,0.049,-0.062,-0.035,0.261,-0.038,-0.030,-1.000,-0.056,0.167,0.097,0.037,-0.217,0.081,0.960,-0.049,0.062,0.035
39.000,0.510,0.038,-0.060,-0.036,0.308,-0.028,-0.043,-0.961,-0.023,0.126,0.093,0.032,-0.191,0.092,0.960,-0.038,0.060,0.036
40.000,0.520,0.029,-0.058,-0.037,0.347,-0.019,-0.054,-0.900,0.004,0.085,0.088,0.026,-0.164,0.101,0.960,-0.029,0.058,0.037
41.000,0.530,0.022,-0.054,-0.038,0.380,-0.012,-0.065,-0.820,0.025,0.045,0.084,0.021,-0.139,0.110,0.960,-0.022,0.054,0.038
42.000,0.540,0.016,-0.050,-0.039,0.406,-0.005,-0.076,-0.724,0.039,0.006,0.081,0.017,-0.115,0.118,0.960,-0.016,0.050,0.039
43.000,0.550,0.011,-0.045,-0.040,0.425,0.001,-0.087,-0.614,0.045,-0.032,0.078,0.012,-0.094,0.127,0.960,-0.011,0.045,0.040
44.000,0.560,0.009,-0.040,-0.041,0.436,0.005,-0.092,-0.494,0.042,-0.069,0.076,0.008,-0.075,0.137,0.960,-0.009,0.040,0.041
45.000,0.570,0.008,-0.033,-0.041,0.441,0.008,-0.087,-0.371,0.032,-0.106,0.075,0.003,-0.059,0.147,0.960,-0.008,0.033,0.041
46.000,0.580,0.007,-0.025,-0.041,0.441,0.009,-0.070,-0.252,0.020,-0.141,0.074,0.000,-0.047,0.158,0.960,-0.007,0.025,0.041
