time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
0,-0.147033873,-0.048037824,-0.051593948,0,0.90461496,0,0.254610027,0.080641435,0,-0.391806812,0.545875436,0.314980683,-0.092240568,0,-0.485934967,0.543242857,-0.0872665
0.017,-0.147937733,-0.047595311,-0.052479023,-0.00041511,0.90460222,-0.00013293,0.257964627,0.080575678,0,-0.394462681,0.543692883,0.315366797,-0.092025972,0,-0.485502143,0.559356685,-0.0872665
0.033,-0.147590208,-0.04747935,-0.052337466,-0.00064153,0.90477182,-0.00022145,0.258290695,0.080532389,0,-0.394365298,0.543691665,0.315313694,-0.092202284,0,-0.485581028,0.559484886,-0.0872665
0.05,-0.148250096,-0.048262101,-0.051899482,-0.0013115,0.9044534,-0.00018571,0.262724516,0.081791506,0,-0.399897011,0.544271359,0.32092476,-0.09361558,0,-0.494216764,0.571364014,-0.0872665
0.067,-0.148701933,-0.047215213,-0.051077623,-0.00173001,0.90464579,-0.00062606,0.264461695,0.080376459,0,-0.400293122,0.542376907,0.320518964,-0.092602572,0,-0.492692792,0.587655933,-0.0872665
0.083,-0.148391698,-0.047076338,-0.05107783,-0.00192503,0.9048867,-0.0007794,0.265167121,0.081062138,0,-0.400065198,0.542354296,0.320060494,-0.092186975,0,-0.492834019,0.587689418,-0.0872665
0.1,-0.14841576,-0.046618496,-0.053381267,-0.0021186,0.90493274,-0.00082236,0.267241783,0.080820862,0,-0.403363062,0.541554059,0.317919833,-0.091820068,0,-0.489670886,0.589314735,-0.0872665
0.117,-0.148296205,-0.046645257,-0.053370358,-0.00230758,0.90491745,-0.00090818,0.267393163,0.080694176,0,-0.40333659,0.541570202,0.317873675,-0.091888039,0,-0.489610556,0.589301114,-0.0872665
0.133,-0.149111669,-0.044930273,-0.054607112,-0.00289626,0.90491797,-0.00128036,0.272292663,0.078444176,0,-0.409782636,0.541920702,0.316929966,-0.089705878,0,-0.484670735,0.586433986,-0.0872665
0.15,-0.149430094,-0.04480341,-0.05349525,-0.00342406,0.90491067,-0.00154849,0.273589228,0.07797101,0,-0.41021866,0.541879356,0.317505036,-0.089196446,0,-0.483363929,0.586550925,-0.0872665
0.167,-0.150243097,-0.043449617,-0.054478891,-0.00398712,0.90484232,-0.00184313,0.277555485,0.076248732,0,-0.414804142,0.541802075,0.317379016,-0.087431624,0,-0.48034787,0.586511354,-0.0872665
0.183,-0.150119182,-0.043460575,-0.054405188,-0.00423702,0.90485795,-0.00191152,0.277717535,0.076201957,0,-0.414765769,0.541819141,0.317383091,-0.087477506,0,-0.480275406,0.586516009,-0.0872665
0.2,-0.152831834,-0.042228275,-0.053522716,-0.00571488,0.904618,-0.00227774,0.286299082,0.074600721,0,-0.422672187,0.543155546,0.322093946,-0.085898693,0,-0.479291774,0.584784813,-0.0872665
0.217,-0.15255067,-0.042269261,-0.053449845,-0.00615193,0.90469541,-0.00237379,0.28651971,0.074520781,0,-0.422563063,0.543149264,0.322120433,-0.085897631,0,-0.479150112,0.584784996,-0.0872665
0.233,-0.153690855,-0.041149207,-0.05521221,-0.00678334,0.90489798,-0.00256129,0.288433083,0.073175803,0,-0.421806437,0.540237087,0.32068666,-0.084648967,0,-0.47271941,0.581179862,-0.0872665
0.25,-0.151666023,-0.040312602,-0.054110476,-0.00674445,0.90493906,-0.00281032,0.287599203,0.071817822,0,-0.424667547,0.540758396,0.318097855,-0.083317178,0,-0.47210868,0.58026694,-0.0872665
0.267,-0.150113774,-0.038794209,-0.053072182,-0.00671375,0.90497139,-0.00318957,0.288577484,0.069553785,0,-0.430250681,0.543415744,0.314509878,-0.081005449,0,-0.467914064,0.580181037,-0.0872665
0.283,-0.149897354,-0.038358825,-0.052176564,-0.00690092,0.90494493,-0.00340205,0.289826893,0.068733627,0,-0.432679299,0.543855821,0.313173118,-0.080208126,0,-0.46491977,0.580821781,-0.0872665
0.3,-0.150077804,-0.038030097,-0.052204249,-0.00716587,0.90495862,-0.00351875,0.290889448,0.068256345,0,-0.433618392,0.543587203,0.312067388,-0.079750758,0,-0.461730565,0.581153981,-0.0872665
0.317,-0.149935104,-0.038086138,-0.052141568,-0.0074209,0.904988,-0.00364031,0.29102095,0.068167195,0,-0.433602221,0.543589316,0.3120333,-0.079803411,0,-0.461613272,0.581165113,-0.0872665
0.333,-0.150812654,-0.037156295,-0.052448218,-0.00785323,0.90501722,-0.00392371,0.293649166,0.066919905,0,-0.43583916,0.543713827,0.310815404,-0.078526338,0,-0.455949294,0.580425557,-0.0872665
0.35,-0.151449022,-0.036963307,-0.051972554,-0.00848491,0.90500665,-0.00418818,0.295077641,0.066348555,0,-0.435838457,0.543765325,0.311859546,-0.078112094,0,-0.454815132,0.579482451,-0.0872665
0.367,-0.152877218,-0.037018527,-0.051288132,-0.00900541,0.90494423,-0.00443921,0.296579293,0.066026316,0,-0.434464464,0.543711309,0.313613185,-0.077954017,0,-0.453654119,0.579041068,-0.0872665
0.383,-0.153877502,-0.037374653,-0.049932265,-0.00913071,0.90488394,-0.00476213,0.29745394,0.065997638,0,-0.433838232,0.543424079,0.314973175,-0.077793926,0,-0.45337868,0.578589196,-0.0872665
0.4,-0.153732672,-0.037499907,-0.049876023,-0.00928771,0.90493741,-0.00496345,0.297502693,0.065949391,0,-0.433842473,0.543412313,0.315028417,-0.07775274,0,-0.453340095,0.578574087,-0.0872665
0.417,-0.153018264,-0.036699004,-0.049145207,-0.00953078,0.90500709,-0.0053839,0.297716617,0.06444151,0,-0.435330345,0.542791298,0.314187286,-0.076376042,0,-0.452240935,0.577126439,-0.0872665
0.433,-0.153787656,-0.03667573,-0.048794398,-0.01000783,0.90497249,-0.00563337,0.298935065,0.064122532,0,-0.434820048,0.542495549,0.314852812,-0.076154446,0,-0.450581766,0.576685387,-0.0872665
0.45,-0.154851203,-0.036475414,-0.04931714,-0.01065082,0.90494575,-0.0058364,0.300562335,0.063697342,0,-0.433969927,0.541989306,0.315605452,-0.075762669,0,-0.448264029,0.576540003,-0.0872665
0.467,-0.154627649,-0.036606266,-0.04932891,-0.01083946,0.9049529,-0.00601826,0.300630169,0.06361754,0,-0.434023161,0.541962161,0.315637939,-0.075709456,0,-0.448215922,0.576516812,-0.0872665
0.483,-0.153391951,-0.036461742,-0.048231057,-0.01050773,0.90500082,-0.00636529,0.299926367,0.062956747,0,-0.436222613,0.541669073,0.314905872,-0.075050011,0,-0.449666255,0.576084577,-0.0872665
0.5,-0.153814695,-0.034780758,-0.049113867,-0.01076508,0.90482353,-0.00682723,0.304027265,0.060634157,0,-0.442878635,0.543041417,0.316479465,-0.072649656,0,-0.451568845,0.57631304,-0.0872665
0.517,-0.153734584,-0.034926613,-0.049185623,-0.01082649,0.90483155,-0.00698306,0.303992577,0.060574165,0,-0.442905924,0.543028209,0.316494248,-0.07265895,0,-0.451545253,0.576318247,-0.0872665
0.533,-0.153644248,-0.035057136,-0.049167506,-0.01091676,0.90482133,-0.00717612,0.3040711,0.060475744,0,-0.442908617,0.543020843,0.316417057,-0.072690636,0,-0.451541637,0.576309073,-0.0872665
0.55,-0.15335775,-0.035184595,-0.049064035,-0.01110597,0.90486774,-0.00739686,0.304213555,0.060357071,0,-0.442945658,0.543014607,0.316375645,-0.072689524,0,-0.451516476,0.576295714,-0.0872665
0.567,-0.152373157,-0.034328585,-0.049105,-0.01115118,0.90494158,-0.00774625,0.304770371,0.058987656,0,-0.446077102,0.542984544,0.314921265,-0.071293327,0,-0.450762373,0.576820589,-0.0872665
0.583,-0.152383164,-0.034446178,-0.049104048,-0.01119363,0.90498091,-0.00790842,0.304779738,0.058904571,0,-0.446101269,0.542989047,0.31489101,-0.071339764,0,-0.450754631,0.576838848,-0.0872665
0.6,-0.152326376,-0.034542146,-0.049115025,-0.01125833,0.90498902,-0.00803595,0.30478988,0.058868248,0,-0.446116163,0.542996804,0.31489853,-0.071351661,0,-0.450728574,0.576851858,-0.0872665
0.617,-0.152213293,-0.034656744,-0.049132889,-0.01138059,0.90500297,-0.00821158,0.304821133,0.058808936,0,-0.446138015,0.543023125,0.314919197,-0.071380238,0,-0.450669157,0.576866435,-0.0872665
0.633,-0.152198344,-0.03479596,-0.049163287,-0.01142216,0.90501424,-0.00838025,0.304824394,0.058741817,0,-0.446165957,0.543034596,0.314925072,-0.071360066,0,-0.450634568,0.576857461,-0.0872665
0.65,-0.152128928,-0.034969144,-0.049217878,-0.01145905,0.90497954,-0.0085761,0.304840404,0.058683093,0,-0.44622475,0.543043794,0.314947626,-0.071293252,0,-0.45057232,0.576820024,-0.0872665
0.667,-0.152020248,-0.035103481,-0.049258186,-0.01154897,0.90496042,-0.00876384,0.304888204,0.058610344,0,-0.446260849,0.543062315,0.314975332,-0.071238122,0,-0.450512645,0.576792073,-0.0872665
0.683,-0.151923592,-0.035233502,-0.049228154,-0.01161451,0.90496274,-0.00895791,0.304974558,0.058451608,0,-0.446279502,0.543083075,0.314946295,-0.071213268,0,-0.450482151,0.576787309,-0.0872665
0.7,-0.151857122,-0.03536262,-0.049154117,-0.01167419,0.90499164,-0.00914644,0.30505231,0.058296663,0,-0.446340166,0.543098635,0.314878143,-0.071138183,0,-0.450470454,0.576776194,-0.0872665
0.717,-0.152002575,-0.034362316,-0.049601486,-0.01180504,0.9049803,-0.00948884,0.306496452,0.056810223,0,-0.448660138,0.544033379,0.314521097,-0.069615901,0,-0.449240548,0.575882755,-0.0872665
0.733,-0.152068532,-0.034512183,-0.049717494,-0.01183412,0.90497024,-0.00962437,0.306532833,0.056798602,0,-0.448628321,0.544041479,0.314581802,-0.069592876,0,-0.44918943,0.575879182,-0.0872665
0.75,-0.152719831,-0.034607376,-0.050489467,-0.01188996,0.90494037,-0.00965588,0.307097712,0.056966139,0,-0.448141587,0.543878181,0.315002077,-0.06975239,0,-0.448844759,0.575927245,-0.0872665
0.767,-0.152749922,-0.034612384,-0.050485308,-0.01189945,0.90497266,-0.00967301,0.307084602,0.056969891,0,-0.448149336,0.543872969,0.314998626,-0.069750766,0,-0.448847127,0.575929991,-0.0872665
0.783,-0.15288228,-0.034727573,-0.050558179,-0.01193128,0.90499963,-0.00974334,0.307049986,0.057004859,0,-0.448074485,0.543807771,0.315141262,-0.06972482,0,-0.448748273,0.575954257,-0.0872665
0.8,-0.154628123,-0.034907244,-0.052688744,-0.01229261,0.9049427,-0.00958449,0.308435243,0.057631726,0,-0.445596492,0.543265848,0.316532081,-0.070415977,0,-0.447689784,0.575905257,-0.0872665
0.817,-0.155623922,-0.036063913,-0.052333486,-0.01240502,0.90489669,-0.00940496,0.308848918,0.059169744,0,-0.443929252,0.540259714,0.318097843,-0.072010044,0,-0.448308197,0.575113305,-0.0872665
0.833,-0.155457659,-0.036243061,-0.051525918,-0.01223148,0.90487226,-0.00948603,0.30863059,0.059191116,0,-0.444364622,0.540220831,0.317904303,-0.071915936,0,-0.448330277,0.575125381,-0.0872665
0.85,-0.154827992,-0.036482458,-0.049876495,-0.01212434,0.90491295,-0.00962386,0.308121819,0.059147627,0,-0.445303341,0.540293576,0.317468427,-0.071795778,0,-0.448309427,0.575170135,-0.0872665
0.867,-0.154839399,-0.0364708,-0.049883251,-0.01218006,0.90496134,-0.00962027,0.308121308,0.059153686,0,-0.445296217,0.540299326,0.317461357,-0.071795272,0,-0.448309192,0.575173418,-0.0872665
0.883,-0.156239366,-0.03642052,-0.052063405,-0.01261416,0.90496442,-0.00945064,0.309210139,0.059505366,0,-0.442799478,0.540554324,0.318527654,-0.072198206,0,-0.44729407,0.575435266,-0.0872665
0.9,-0.155766763,-0.036706625,-0.050017923,-0.01223506,0.90489165,-0.00952717,0.308504404,0.059683685,0,-0.443566405,0.540648702,0.317820454,-0.072235975,0,-0.447221503,0.575717308,-0.0872665
0.917,-0.154950365,-0.036680181,-0.049474916,-0.01200597,0.90491905,-0.00958921,0.307455606,0.059536889,0,-0.444041463,0.540979582,0.316765508,-0.072084431,0,-0.447420266,0.5760407,-0.0872665
0.933,-0.154949229,-0.036712167,-0.049482988,-0.0120294,0.90490855,-0.00958347,0.307435871,0.059524138,0,-0.444043966,0.540978989,0.316776043,-0.072070407,0,-0.447409373,0.576041955,-0.0872665
0.95,-0.154984952,-0.036787836,-0.049494397,-0.01194794,0.90489647,-0.00962301,0.307269664,0.059507264,0,-0.444068594,0.540967892,0.316836104,-0.072041693,0,-0.447321629,0.576068738,-0.0872665
0.967,-0.155053883,-0.036764655,-0.049409965,-0.01182063,0.90487794,-0.00960291,0.307249345,0.05952665,0,-0.444025809,0.540971729,0.31669476,-0.072074254,0,-0.447326571,0.576098531,-0.0872665
0.983,-0.155042614,-0.036771482,-0.049400152,-0.01177569,0.90489281,-0.00960434,0.307246207,0.059533427,0,-0.444018538,0.540973655,0.316687706,-0.072069425,0,-0.447321706,0.576101575,-0.0872665
1,-0.15233605,-0.037560134,-0.048423037,-0.01088004,0.90524682,-0.00951993,0.299745389,0.060298749,0,-0.437086376,0.541532123,0.311060483,-0.072728738,0,-0.443561847,0.576954849,-0.0872665
1.017,-0.152473527,-0.037545399,-0.048425639,-0.01077063,0.90521853,-0.00948953,0.299685772,0.060278686,0,-0.437095955,0.541510712,0.311039482,-0.072745968,0,-0.443575135,0.576948253,-0.0872665
1.033,-0.152530094,-0.037528505,-0.048434343,-0.01082365,0.90527391,-0.00947195,0.299659516,0.060275709,0,-0.437096394,0.54150358,0.311027231,-0.072760249,0,-0.443578249,0.576947673,-0.0872665
1.05,-0.153472113,-0.038298528,-0.05025651,-0.01106756,0.90551185,-0.00907672,0.298162254,0.061773101,0,-0.430821708,0.535945751,0.31130421,-0.074345282,0,-0.441840298,0.574456486,-0.0872665
1.067,-0.151428586,-0.037971535,-0.048563921,-0.01036325,0.9055147,-0.00928597,0.296051066,0.060942926,0,-0.433124257,0.538841748,0.308657632,-0.073365243,0,-0.441901148,0.575479369,-0.0872665
1.083,-0.151494535,-0.037953031,-0.048488245,-0.01017936,0.90545618,-0.00928503,0.295968092,0.060926726,0,-0.433189978,0.538863472,0.308541333,-0.073380133,0,-0.441999428,0.575494688,-0.0872665
1.1,-0.151543344,-0.037922869,-0.048483189,-0.01010633,0.90543618,-0.00926818,0.295932236,0.060934411,0,-0.43320473,0.53887155,0.308493642,-0.073390591,0,-0.442043622,0.575497124,-0.0872665
1.117,-0.151582916,-0.037893254,-0.048508163,-0.01001042,0.90543193,-0.00922674,0.29586313,0.060960456,0,-0.433229068,0.538882503,0.308476558,-0.073384578,0,-0.442081938,0.575497873,-0.0872665
1.133,-0.15162541,-0.037826677,-0.048534128,-0.00985451,0.90540209,-0.00914361,0.295718887,0.060983996,0,-0.433267011,0.538918869,0.308371322,-0.073454865,0,-0.442197611,0.575508281,-0.0872665
1.15,-0.15171287,-0.037772766,-0.048495742,-0.0097317,0.90538022,-0.00907421,0.295722181,0.060968611,0,-0.433268305,0.538931016,0.308242629,-0.073522068,0,-0.44227796,0.575517235,-0.0872665
1.167,-0.151034219,-0.037878204,-0.049015297,-0.00942316,0.90539976,-0.00893843,0.294730326,0.061229325,0,-0.433548793,0.539783225,0.307140426,-0.073885712,0,-0.443019,0.576317713,-0.0872665
1.183,-0.151563635,-0.037754336,-0.04955872,-0.00938409,0.90538623,-0.00882901,0.29494577,0.061295603,0,-0.432980448,0.53997031,0.30733535,-0.073849517,0,-0.442509369,0.576434456,-0.0872665
1.2,-0.153677659,-0.037381865,-0.051717852,-0.00966538,0.90535793,-0.00863291,0.29661115,0.061372367,0,-0.430366476,0.540249227,0.30862079,-0.073891061,0,-0.440285209,0.576467585,-0.0872665
1.217,-0.154899039,-0.037182098,-0.051504791,-0.00962485,0.90530879,-0.0085368,0.297361992,0.061358409,0,-0.429291754,0.539895377,0.309414968,-0.073809775,0,-0.438893507,0.575937597,-0.0872665
1.233,-0.155168263,-0.037022205,-0.051490822,-0.00937297,0.9052883,-0.00843125,0.297310934,0.061413531,0,-0.42930712,0.539871085,0.309338202,-0.073782982,0,-0.438947788,0.575904136,-0.0872665
1.25,-0.157500837,-0.036192352,-0.053489259,-0.00967107,0.90524515,-0.00828721,0.299187728,0.060890362,0,-0.426906424,0.539359007,0.311220551,-0.073276992,0,-0.437639127,0.575195677,-0.0872665
1.267,-0.157433922,-0.035137401,-0.05218815,-0.00910736,0.90513492,-0.00836356,0.299640143,0.059459399,0,-0.429657341,0.539549252,0.310793784,-0.071931057,0,-0.437968615,0.575120454,-0.0872665
